EAR,MAR,HeadAngle,Label
0.2462,0.4764,86.9553,1
0.2509,0.4735,86.7949,1
0.2523,0.4773,87.1711,1
0.252,0.4756,87.0358,1
0.2565,0.4755,86.7217,1
0.254,0.4799,87.215,1
0.2574,0.4812,87.0265,1
0.2518,0.4727,87.0323,1
0.2618,0.4747,86.97,1
0.2602,0.4738,87.0847,1
0.2407,0.4702,87.032,1
0.2456,0.4782,86.9013,1
0.2498,0.4783,87.2141,1
0.2538,0.4759,86.9286,1
0.2443,0.4771,86.744,1
0.2252,0.4744,87.2671,1
0.1119,0.4776,86.81,1
0.0634,0.478,86.8338,1
0.0693,0.4682,86.7089,1
0.0767,0.4821,87.0362,1
0.0789,0.4685,86.6095,1
0.0851,0.4688,86.8094,1
0.0887,0.4711,87.1124,1
0.0768,0.4697,86.9319,1
0.0681,0.4704,86.579,1
0.0746,0.4697,86.9037,1
0.0687,0.4706,86.8131,1
0.0898,0.4708,86.8382,1
0.079,0.4708,86.8365,1
0.0886,0.4727,86.6307,1
0.0991,0.4735,86.3623,1
0.103,0.4744,86.591,1
0.0748,0.4716,87.0674,1
0.1111,0.4712,86.5177,1
0.1053,0.4723,86.7964,1
0.0883,0.4697,86.8225,1
0.1088,0.4732,86.6392,1
0.0832,0.4709,86.9031,1
0.0839,0.4695,86.9077,1
0.0902,0.4699,86.7536,1
0.1095,0.4736,86.5373,1
0.0814,0.4678,87.0905,1
0.1083,0.4724,86.3683,1
0.1167,0.4767,86.2747,1
0.0845,0.4692,86.9194,1
0.1151,0.476,86.418,1
0.1186,0.4716,86.5274,1
0.122,0.4749,86.2898,1
0.1029,0.4709,86.9295,1
0.1325,0.4729,86.1857,1
0.0997,0.4734,86.985,1
0.117,0.4772,86.2938,1
0.0847,0.4731,86.5502,1
0.1214,0.4749,86.6179,1
0.0849,0.4727,86.7055,1
0.0758,0.4729,86.4804,1
0.0696,0.4712,86.6933,1
0.103,0.4753,86.2263,1
0.071,0.4705,86.8361,1
0.084,0.4735,86.5303,1
0.0722,0.4727,86.5921,1
0.0647,0.4717,86.6932,1
0.0683,0.4718,86.6929,1
0.0666,0.4734,86.7953,1
0.0706,0.4729,86.7037,1
0.081,0.473,86.6191,1
0.0728,0.4749,86.5864,1
0.0785,0.4738,86.6957,1
0.0876,0.4762,86.49,1
0.0721,0.4742,86.6812,1
0.0705,0.4737,86.8227,1
0.0665,0.4752,86.571,1
0.0751,0.4714,86.6232,1
0.0869,0.4747,86.3676,1
0.0749,0.4694,86.6489,1
0.0671,0.4732,86.3631,1
0.067,0.4711,86.4311,1
0.0717,0.4724,86.2974,1
0.0743,0.4728,86.5731,1
0.0721,0.4707,86.4719,1
0.0762,0.4734,86.185,1
0.0728,0.4746,86.1479,1
0.0799,0.4719,86.5053,1
0.072,0.4712,86.1995,1
0.0889,0.4779,86.2412,1
0.0833,0.4725,86.0928,1
0.0739,0.4755,86.0299,1
0.0783,0.473,86.2079,1
0.1142,0.4765,85.8401,1
0.0918,0.4738,86.325,1
0.1219,0.4737,86.1867,1
0.0989,0.4745,86.1843,1
0.0851,0.4734,86.4406,1
0.0868,0.4721,86.2105,1
0.0995,0.4743,86.017,1
0.1026,0.476,85.8797,1
0.0831,0.4722,86.1851,1
0.0813,0.4734,86.054,1
0.0956,0.4777,85.9121,1
0.0883,0.4758,85.8041,1
0.0566,0.4719,86.6377,1
0.0652,0.4731,86.432,1
0.0619,0.4722,86.4813,1
0.0722,0.4727,86.2611,1
0.0624,0.4719,86.0424,1
0.0662,0.4711,85.9788,1
0.073,0.4736,85.6509,1
0.0755,0.4723,85.5788,1
0.0695,0.471,86.0292,1
0.0657,0.4692,86.0422,1
0.073,0.4736,85.7043,1
0.0765,0.4728,85.8735,1
0.0768,0.4701,85.8653,1
0.0981,0.4761,85.7299,1
0.1045,0.4732,85.5346,1
0.0744,0.4697,86.1764,1
0.0754,0.4763,85.9399,1
0.0708,0.47,86.1148,1
0.1127,0.4791,86.1935,1
0.0686,0.474,86.012,1
0.0761,0.4754,85.942,1
0.071,0.4679,85.9166,1
0.0819,0.4772,86.1622,1
0.085,0.4696,85.9147,1
0.0819,0.478,86.2219,1
0.0846,0.4686,85.7976,1
0.0829,0.4779,85.6801,1
0.0747,0.4712,86.0843,1
0.0786,0.4769,85.909,1
0.0752,0.4776,86.0925,1
0.0725,0.4781,86.2302,1
0.0684,0.4772,86.135,1
0.0659,0.4763,86.0133,1
0.0664,0.4774,85.8224,1
0.069,0.4759,85.7717,1
0.0761,0.477,86.0556,1
0.0683,0.4771,85.9112,1
0.0751,0.4785,85.9655,1
0.0827,0.4756,86.0132,1
0.0874,0.4773,85.7975,1
0.0821,0.4737,85.8736,1
0.0844,0.4783,86.0411,1
0.0725,0.4757,85.8759,1
0.0975,0.4787,86.1359,1
0.0898,0.477,85.8809,1
0.0746,0.4789,86.1074,1
0.0928,0.4746,86.08,1
0.0679,0.4762,85.6935,1
0.0664,0.4754,85.8086,1
0.0711,0.4765,85.7475,1
0.0677,0.4751,85.8073,1
0.0659,0.4733,85.8964,1
0.0624,0.4737,85.9133,1
0.0727,0.4745,85.8047,1
0.0613,0.475,85.8294,1
0.0763,0.473,85.7386,1
0.0637,0.4736,85.8677,1
0.0584,0.4737,85.7052,1
0.0647,0.4728,86.0253,1
0.055,0.4723,85.7187,1
0.0553,0.4727,86.137,1
0.0642,0.4747,86.4208,1
0.0645,0.4669,86.0996,1
0.0693,0.4701,86.3189,1
0.0643,0.4715,86.0221,1
0.0663,0.4731,86.3131,1
0.0601,0.4725,86.1715,1
0.066,0.4749,86.1991,1
0.0541,0.4738,86.1199,1
0.0491,0.4703,86.314,1
0.0656,0.4703,85.9363,1
0.0676,0.4689,86.1762,1
0.0689,0.4712,86.1721,1
0.0741,0.4712,86.2542,1
0.0849,0.4721,86.0751,1
0.064,0.4758,86.34,1
0.0529,0.4761,86.1721,1
0.0442,0.4747,86.2083,1
0.0434,0.4783,86.0505,1
0.0438,0.4765,85.794,1
0.0402,0.4764,85.9862,1
0.0423,0.4763,85.909,1
0.0501,0.4783,86.0334,1
0.0522,0.4764,86.008,1
0.0523,0.4761,85.931,1
0.0524,0.477,85.8191,1
0.0428,0.4755,85.78,1
0.0418,0.4748,85.8203,1
0.046,0.4749,85.5988,1
0.0488,0.4713,85.7542,1
0.046,0.4766,85.7576,1
0.0408,0.477,85.8982,1
0.0496,0.4768,85.7222,1
0.0533,0.475,85.6879,1
0.0497,0.4767,85.6243,1
0.0542,0.4753,85.819,1
0.054,0.4775,85.8535,1
0.0617,0.4743,85.6829,1
0.0511,0.4761,85.5154,1
0.0536,0.4758,85.6902,1
0.0589,0.4758,85.6509,1
0.0743,0.4744,85.7545,1
0.058,0.4753,85.5546,1
0.0799,0.4744,85.6121,1
0.075,0.4745,85.7247,1
0.0694,0.475,85.5165,1
0.0774,0.4759,85.6753,1
0.0764,0.4761,85.6606,1
0.0806,0.4745,85.7953,1
0.07,0.4751,85.524,1
0.0798,0.4752,85.489,1
0.079,0.476,85.4977,1
0.0679,0.4771,85.5317,1
0.0661,0.4779,85.6108,1
0.0782,0.4754,85.5073,1
0.0645,0.4778,85.6231,1
0.0752,0.4769,85.6096,1
0.0672,0.4767,85.4575,1
0.059,0.4755,85.5178,1
0.0661,0.4743,85.4544,1
0.0641,0.4765,85.4205,1
0.1092,0.4746,85.168,1
0.1299,0.4764,85.6841,1
0.1882,0.4803,85.6622,1
0.2304,0.4776,85.6725,1
0.2566,0.477,85.5469,1
0.2813,0.4733,86.0069,1
0.2784,0.4732,86.2327,1
0.2898,0.4699,86.2476,1
0.2951,0.4729,85.9988,1
0.3053,0.4733,86.3009,1
0.304,0.4707,86.0267,1
0.2966,0.4716,86.2784,1
0.2979,0.471,86.2871,1
0.305,0.4763,86.2135,1
0.3069,0.4731,86.3151,1
0.3101,0.4737,86.2075,1
0.2986,0.4764,85.8375,1
0.3044,0.4736,86.0918,1
0.3013,0.4736,86.0396,1
0.3017,0.4743,86.2483,1
0.2966,0.473,86.1269,1
0.3012,0.4728,86.1028,1
0.2911,0.4743,86.1238,1
0.2987,0.4721,86.2883,1
0.2964,0.4742,86.2331,1
0.2917,0.4736,86.3434,1
0.2934,0.4767,86.0837,1
0.2941,0.4729,86.0091,1
0.2827,0.4721,86.3235,1
0.2896,0.4749,86.0847,1
0.2814,0.4739,85.9695,1
0.2829,0.4746,86.1268,1
0.2845,0.4748,86.2967,1
0.282,0.4757,85.9385,1
0.2828,0.4737,85.9898,1
0.284,0.4731,86.1117,1
0.2846,0.4767,86.2042,1
0.2821,0.4802,86.2456,1
0.2839,0.4726,86.0774,1
0.2805,0.4738,86.1686,1
0.277,0.4742,86.0959,1
0.2805,0.4728,86.0358,1
0.2793,0.4747,86.2392,1
0.2892,0.4732,86.086,1
